demographic,Q1
belief,Q10
belief,Q10.1
belief,Q10.2
belief,Q10.3
belief,Q10.4
belief,Q12
belief,Q13
demographic,Q14
practice,Q15
practice,Q15.1
practice,Q15.2
practice,Q15.3
practice,Q15.4
practice,Q15.5
practice,Q15.6
practice,Q15.7
practice,Q16
practice,Q17
practice,Q18
practice,Q20
practice,Q21
practice,Q22
practice,Q23
knowledge,Q24
knowledge,Q24.1
knowledge,Q24.2
knowledge,Q24.3
knowledge,Q24.4
knowledge,Q24.5
knowledge,Q24.6
knowledge,Q25
knowledge,Q25.1
knowledge,Q25.2
knowledge,Q25.3
knowledge,Q25.4
knowledge,Q25.5
knowledge,Q25.6
knowledge,Q25.7
knowledge,Q25.8
knowledge,Q26
knowledge,Q27
knowledge,Q27.1
knowledge,Q27.2
knowledge,Q27.3
knowledge,Q27.4
knowledge,Q27.5
knowledge,Q27.6
knowledge,Q28
knowledge,Q29
demographic,Q3
knowledge,Q30
knowledge,Q31
knowledge,Q31.1
knowledge,Q31.2
knowledge,Q31.3
knowledge,Q31.4
knowledge,Q31.5
knowledge,Q32
knowledge,Q33
knowledge,Q34
knowledge,Q34.1
knowledge,Q34.2
knowledge,Q34.3
knowledge,Q34.4
knowledge,Q35
knowledge,Q35.1
knowledge,Q35.2
knowledge,Q35.3
knowledge,Q35.4
knowledge,Q35.5
knowledge,Q35.6
knowledge,Q35.7
knowledge,Q36
knowledge,Q37
knowledge,Q38
knowledge,Q39
belief,Q4
belief,Q4.1
belief,Q4.2
belief,Q4.3
belief,Q4.4
belief,Q4.5
knowledge,Q40
medicine,Q41
medicine,Q41.1
medicine,Q41.2
medicine,Q41.3
medicine,Q41.4
medicine,Q41.5
medicine,Q42
medicine,Q42.1
medicine,Q42.2
medicine,Q42.3
medicine,Q42.4
medicine,Q42.5
medicine,Q43
medicine,Q43.1
medicine,Q43.2
medicine,Q43.3
medicine,Q43.4
medicine,Q43.5
medicine,Q43.6
medicine,Q44
medicine,Q45
medicine,Q46
belief,Q47
belief,Q48
demographic,Q5
demographic,Q6
belief,Q7
belief,Q7.1
belief,Q7.2
belief,Q7.3
belief,Q7.4
belief,Q7.5
belief,Q7.6
belief,Q8
belief,Q9
medicine,Q50
